================================================================================
                       - Log file for GhostNight server -                       
================================================================================
 - File name: Room327.txt
 - Create time: 4/7/2016 10:58:55 PM
 - Room Number: 327
================================================================================
 Timestamp | Event source | Event name | Data                                   
--------------------------------------------------------------------------------
     19249 |      Ameonna |     ATTACK | Blocker-0 90 to 910
     19583 |      Ameonna |     ATTACK | Blocker-0 90 to 820
     19917 |      Ameonna |     ATTACK | Blocker-0 90 to 730
     20251 |      Ameonna |     ATTACK | Blocker-0 90 to 640
     24808 |      Kappa-0 |     ATTACK | Blocker-0 90 to 550
     25159 |      Kappa-0 |     ATTACK | Blocker-0 90 to 460
     25495 |      Kappa-0 |     ATTACK | Blocker-0 90 to 370
     25830 |      Kappa-0 |     ATTACK | Blocker-0 90 to 280
     26165 |      Kappa-0 |     ATTACK | Blocker-0 90 to 190
     26500 |      Kappa-0 |     ATTACK | Blocker-0 90 to 100
     26834 |      Kappa-0 |     ATTACK | Blocker-0 90 to 10
     27168 |      Kappa-0 |     ATTACK | Blocker-0 10 to 0
     27168 |    Blocker-0 |        DIE | killed by Kappa-0
     44092 |       Miko-0 |     ATTACK | Wanyudo-1 90 to 910
     44426 |       Miko-0 |     ATTACK | Wanyudo-1 90 to 820
     44760 |       Miko-0 |     ATTACK | Wanyudo-1 90 to 730
     45094 |       Miko-0 |     ATTACK | Wanyudo-1 90 to 640
     45427 |       Miko-0 |     ATTACK | Wanyudo-1 90 to 550
     45761 |       Miko-0 |     ATTACK | Wanyudo-1 90 to 460
     46098 |       Miko-0 |     ATTACK | Wanyudo-1 90 to 370
     46432 |       Miko-0 |     ATTACK | Wanyudo-1 90 to 280
     46766 |       Miko-0 |     ATTACK | Wanyudo-1 90 to 190
     47102 |       Miko-0 |     ATTACK | Wanyudo-1 90 to 100
     54572 |       Miko-0 |     ATTACK | Kappa-2 90 to 510
     54574 |      Kappa-2 |     ATTACK | Miko-0 90 to 910
     54906 |       Miko-0 |     ATTACK | Kappa-2 90 to 420
     54910 |      Kappa-2 |     ATTACK | Miko-0 90 to 820
     55242 |       Miko-0 |     ATTACK | Kappa-2 90 to 330
     55245 |      Kappa-2 |     ATTACK | Miko-0 90 to 730
     55578 |       Miko-0 |     ATTACK | Kappa-2 90 to 240
     55579 |      Kappa-2 |     ATTACK | Miko-0 90 to 640
     55914 |       Miko-0 |     ATTACK | Kappa-2 90 to 150
     55914 |      Kappa-2 |     ATTACK | Miko-0 90 to 550
     56248 |       Miko-0 |     ATTACK | Kappa-2 90 to 60
     56248 |      Kappa-2 |     ATTACK | Miko-0 90 to 460
     56583 |       Miko-0 |     ATTACK | Kappa-2 60 to 0
     56584 |      Kappa-2 |        DIE | killed by Miko-0
     56918 |       Miko-0 |     ATTACK | Wanyudo-3 90 to 910
     57251 |       Miko-0 |     ATTACK | Wanyudo-3 90 to 820
     57478 |    Foxfire-4 |     ATTACK | Miko-0 90 to 370
