================================================================================
                       - Log file for GhostNight server -                       
================================================================================
 - File name: Room926.txt
 - Create time: 4/8/2016 1:18:30 AM
 - Room Number: 926
================================================================================
 Timestamp | Event source | Event name | Data                                   
--------------------------------------------------------------------------------
     21274 |      Kappa-0 |     ATTACK | Blocker-0 90 to 910
     21609 |      Kappa-0 |     ATTACK | Blocker-0 90 to 820
     21944 |      Kappa-0 |     ATTACK | Blocker-0 90 to 730
     22277 |      Kappa-0 |     ATTACK | Blocker-0 90 to 640
     22611 |      Kappa-0 |     ATTACK | Blocker-0 90 to 550
     22945 |      Kappa-0 |     ATTACK | Blocker-0 90 to 460
     23280 |      Kappa-0 |     ATTACK | Blocker-0 90 to 370
     23616 |      Kappa-0 |     ATTACK | Blocker-0 90 to 280
     23949 |      Kappa-0 |     ATTACK | Blocker-0 90 to 190
     24284 |      Kappa-0 |     ATTACK | Blocker-0 90 to 100
     24553 |    Wanyudo-1 |     ATTACK | Blocker-0 100 to 0
     24553 |    Blocker-0 |        DIE | killed by Wanyudo-1
     31571 |      Inari-0 |     ATTACK | Wanyudo-1 90 to 910
     31799 |      Kappa-0 |     ATTACK | Inari-0 90 to 910
     31906 |      Inari-0 |     ATTACK | Wanyudo-1 90 to 820
     32134 |      Kappa-0 |     ATTACK | Inari-0 90 to 820
     32240 |      Inari-0 |     ATTACK | Wanyudo-1 90 to 730
     32468 |      Kappa-0 |     ATTACK | Inari-0 90 to 730
     32574 |      Inari-0 |     ATTACK | Wanyudo-1 90 to 640
     32802 |      Kappa-0 |     ATTACK | Inari-0 90 to 640
     32909 |      Inari-0 |     ATTACK | Wanyudo-1 90 to 550
     33137 |      Kappa-0 |     ATTACK | Inari-0 90 to 550
     33243 |      Inari-0 |     ATTACK | Wanyudo-1 90 to 460
     33471 |      Kappa-0 |     ATTACK | Inari-0 90 to 460
     33578 |      Inari-0 |     ATTACK | Wanyudo-1 90 to 370
     33805 |      Kappa-0 |     ATTACK | Inari-0 90 to 370
     33912 |      Inari-0 |     ATTACK | Wanyudo-1 90 to 280
     34082 |      Asura-1 |     ATTACK | Wanyudo-1 90 to 190
     34139 |      Kappa-0 |     ATTACK | Inari-0 90 to 280
