================================================================================
                       - Log file for GhostNight server -                       
================================================================================
 - File name: Room002.txt
 - Create time: 4/8/2016 1:22:13 AM
 - Room Number: 002
================================================================================
 Timestamp | Event source | Event name | Data                                   
--------------------------------------------------------------------------------
     27973 |      Kappa-0 |     ATTACK | Blocker-0 90 to 910
     28308 |      Kappa-0 |     ATTACK | Blocker-0 90 to 820
     28641 |      Kappa-0 |     ATTACK | Blocker-0 90 to 730
     28972 |      Snake-0 |     ATTACK | Kappa-0 90 to 510
     28976 |      Kappa-0 |     ATTACK | Blocker-0 90 to 640
     29306 |      Snake-0 |     ATTACK | Kappa-0 90 to 420
     29309 |      Kappa-0 |     ATTACK | Blocker-0 90 to 550
     29640 |      Snake-0 |     ATTACK | Kappa-0 90 to 330
     29643 |      Kappa-0 |     ATTACK | Blocker-0 90 to 460
     29974 |      Snake-0 |     ATTACK | Kappa-0 90 to 240
     29977 |      Kappa-0 |     ATTACK | Blocker-0 90 to 370
     30032 |    Foxfire-2 |     ATTACK | Blocker-0 90 to 280
     30309 |      Snake-0 |     ATTACK | Wanyudo-1 22.5 to 977.5
     30309 |      Snake-0 |     ATTACK | Kappa-0 90 to 150
     30312 |      Kappa-0 |     ATTACK | Blocker-0 90 to 190
     30366 |    Foxfire-2 |     ATTACK | Blocker-0 90 to 100
     30643 |      Snake-0 |     ATTACK | Kappa-0 90 to 60
     30643 |      Snake-0 |     ATTACK | Wanyudo-1 22.5 to 955
     30646 |      Kappa-0 |     ATTACK | Blocker-0 90 to 10
     30699 |    Foxfire-2 |     ATTACK | Blocker-0 10 to 0
     30700 |    Blocker-0 |        DIE | killed by Foxfire-2
     30977 |      Snake-0 |     ATTACK | Kappa-0 60 to 0
     30978 |      Kappa-0 |        DIE | killed by Snake-0
     30979 |      Snake-0 |     ATTACK | Wanyudo-1 22.5 to 932.5
     30979 |      Snake-0 |     ATTACK | Foxfire-2 22.5 to 977.5
     31034 |    Foxfire-2 |     ATTACK | Snake-0 90 to 910
     31313 |      Snake-0 |     ATTACK | Wanyudo-1 90 to 842.5
     31314 |      Snake-0 |       HEAL | Kappa-0 0 to 0
     31315 |      Kappa-0 |        DIE | killed by Snake-0
     31315 |      Snake-0 |     ATTACK | Foxfire-2 22.5 to 955
     31370 |    Foxfire-2 |     ATTACK | Snake-0 90 to 820
     31648 |      Snake-0 |     ATTACK | Wanyudo-1 90 to 752.5
     31649 |      Snake-0 |       HEAL | Kappa-0 0 to 0
     31650 |      Kappa-0 |        DIE | killed by Snake-0
     31650 |      Snake-0 |     ATTACK | Foxfire-2 22.5 to 932.5
     31650 |      Snake-0 |     ATTACK | Dojoji-3 22.5 to 977.5
     31704 |    Foxfire-2 |     ATTACK | Snake-0 90 to 730
